"Species","Common","IUIS Allergen","Type","Group","Length","GI#","First Version"
"Bacillus lentus","","Unassigned","Bacteria airway","Bacillus lentus subtilisin","269","267048","9"
"Bacillus licheniformis","","Unassigned","Bacteria airway","Bacillus licheniformis subtlilisin","379","135016","9"
"Bacillus licheniformis","","Unassigned","Bacteria airway","Bacillus licheniformis subtlilisin","374","11127680","9"
"Bacillus sp.","","Unassigned","Bacteria airway","Bacillus lentus Esperase","361","1225905","9"
"Balanus rostratus","","Unassigned","Food Animal","Balanus r tropomyosin","284","125659386","9"
"Cladosporium cladosporioides","","Unassigned","Aero Fungi","Cladosporium Cla c 9 Davidiella","388","148361511","11"
"Cochliobolus lunatus","","Unassigned","Aero Fungi","Cochliobolus (Curvularia) Cur l 3 * ver 10","108","20137645","8"
"Cochliobolus lunatus","","Cur l 2.01","Aero Fungi","Cochliobolus (Curvularia) enolase Cur l 2.01","440","14585753","8"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 1 tropomyosin","284","238477263","12"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 2 arginine kinase","356","238477265","12"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 4 sarcoplasmic calcium-binding prote","193","238477327","12"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 5 myosin light chain","153","238477331","12"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 6 troponin C","150","238477333","12"
"Crangon crangon","","Unassigned","Food Animal","Crangon Cra c 8 triosephosphate isomerase","249","238477329","12"
"Erimacrus isenbeckii","","Unassigned","Food Animal","Erimacrus tropomyosin","284","125995169","8"
"Erimacrus isenbeckii","","Unassigned","Food Animal","Erimacrus tropomyosin","284","125995171","8"
"Euphausia pacifica","","Unassigned","Food Animal","Euphausia","284","156712754","9"
"Euphausia superba","","Unassigned","Food Animal","Euphausia","284","156712752","9"
"Fulvia mutica","","Unassigned","Food Animal","Fulvia tropomyosin","284","219806596","10"
